iter	RMSE
0	3210.167887
1	2524.60389
2	2194.111064
3	2063.958978
4	1979.178045
5	1934.276417
6	1905.25639
7	1878.905242
8	1862.420426
9	1848.100114
10	1831.866762
11	1819.504746
12	1807.444716
13	1799.030462
14	1788.93206
15	1778.954145
16	1766.60298
17	1751.274171
18	1742.56232
19	1737.612598
20	1732.706951
21	1726.681944
22	1718.751254
23	1715.307631
24	1709.4915
25	1704.467564
26	1700.396911
27	1696.588156
28	1691.146706
29	1686.656181
30	1681.551508
31	1676.71287
32	1673.395634
33	1669.291519
34	1664.197797
35	1658.90736
36	1653.746407
37	1649.746974
38	1647.241083
39	1644.151826
40	1640.50245
41	1636.181967
42	1632.94556
43	1630.517213
44	1626.881738
45	1622.890152
46	1619.979526
47	1617.41041
48	1614.810437
49	1611.862734
50	1606.979796
51	1605.167882
52	1602.933456
53	1600.698683
54	1598.006122
55	1595.605667
56	1593.126044
57	1589.530504
58	1586.362146
59	1584.915037
60	1581.602133
61	1579.788842
62	1577.947151
63	1576.739177
64	1575.214656
65	1573.731833
66	1572.206725
67	1569.276924
68	1567.015499
69	1564.567528
70	1563.13316
71	1560.913476
72	1558.986697
73	1557.450577
74	1556.314918
75	1555.217404
76	1553.929095
77	1552.187037
78	1550.02292
79	1548.743768
80	1547.191802
81	1545.942838
82	1544.141185
83	1542.499986
84	1540.799647
85	1537.598782
86	1536.012748
87	1535.312058
88	1534.113864
89	1533.243335
90	1531.288896
91	1529.631296
92	1528.700521
93	1527.627117
94	1525.983458
95	1524.841229
96	1522.901663
97	1520.712194
98	1519.649285
99	1517.019326
