iter	Passed	Remaining
0	197	19595
1	245	12006
2	295	9552
3	342	8222
4	390	7427
5	441	6919
6	492	6547
7	541	6225
8	590	5974
9	640	5765
10	689	5581
11	734	5384
12	788	5279
13	843	5182
14	894	5069
15	948	4977
16	996	4865
17	1045	4764
18	1097	4678
19	1148	4595
20	1201	4520
21	1253	4443
22	1306	4375
23	1357	4298
24	1411	4235
25	1465	4171
26	1520	4110
27	1577	4055
28	1637	4009
29	1696	3957
30	1763	3924
31	1824	3876
32	1893	3844
33	1949	3783
34	2002	3719
35	2057	3658
36	2107	3589
37	2160	3525
38	2210	3457
39	2263	3395
40	2313	3329
41	2372	3276
42	2424	3214
43	2475	3151
44	2528	3090
45	2592	3043
46	2649	2988
47	2722	2949
48	2780	2893
49	2839	2839
50	2896	2782
51	2964	2736
52	3027	2684
53	3091	2633
54	3158	2583
55	3223	2533
56	3283	2477
57	3332	2413
58	3381	2349
59	3486	2324
60	3534	2259
61	3583	2196
62	3632	2133
63	3676	2067
64	3722	2004
65	3768	1941
66	3813	1878
67	3858	1815
68	3904	1754
69	3949	1692
70	3998	1633
71	4046	1573
72	4090	1513
73	4135	1453
74	4185	1395
75	4230	1335
76	4275	1277
77	4322	1219
78	4369	1161
79	4418	1104
80	4466	1047
81	4513	990
82	4558	933
83	4607	877
84	4652	821
85	4696	764
86	4744	709
87	4794	653
88	4840	598
89	4884	542
90	4926	487
91	4973	432
92	5019	377
93	5069	323
94	5114	269
95	5154	214
96	5199	160
97	5248	107
98	5299	53
99	5349	0
